feature,coefficient,abs_coefficient
cat__rndrng_prvdr_type_Infectious Disease,-0.000996921123503661,0.000996921123503661
cat__rndrng_prvdr_type_Nephrology,-0.0009715515375028494,0.0009715515375028494
cat__rndrng_prvdr_type_Diagnostic Radiology,-0.0009519890098314951,0.0009519890098314951
num__tot_mdcr_alowd_amt_specialty_year_median,0.0009404529911466151,0.0009404529911466151
num__first_observed_year,-0.0007990866075030256,0.0007990866075030256
cat__rndrng_prvdr_type_Ambulatory Surgical Center,-0.00066835990587528,0.00066835990587528
cat__rndrng_prvdr_type_Medical Oncology,-0.0006520525695892184,0.0006520525695892184
num__flag_top5pct_bene_avg_risk_scre_within_specialty_year,-0.0006288920624885416,0.0006288920624885416
cat__rndrng_prvdr_type_Oral Surgery (Dentist only),0.0006159973944391725,0.0006159973944391725
cat__rndrng_prvdr_type_Radiation Oncology,-0.0006158127242062054,0.0006158127242062054
num__ph_condition_pct_mean_lag1,-0.0005624647003311392,0.0005624647003311392
cat__rndrng_prvdr_type_Otolaryngology,-0.0005591821133347256,0.0005591821133347256
cat__rndrng_prvdr_type_Pediatric Medicine,0.0005526521901626788,0.0005526521901626788
cat__rndrng_prvdr_type_Pulmonary Disease,-0.0005370730441756633,0.0005370730441756633
cat__rndrng_prvdr_type_Audiologist,-0.0005346284190666698,0.0005346284190666698
num__ph_condition_pct_mean,-0.0005317609134495617,0.0005317609134495617
num__log1p_tot_srvcs,-0.000500200864563093,0.000500200864563093
num__bene_age_lt_65_cnt,0.0004970759118728545,0.0004970759118728545
cat__rndrng_prvdr_type_Rheumatology,0.0004907561384311591,0.0004907561384311591
cat__rndrng_prvdr_type_Hematology-Oncology,-0.0004801171785173947,0.0004801171785173947
cat__rndrng_prvdr_type_Interventional Cardiology,-0.00047904919265277286,0.00047904919265277286
cat__rndrng_prvdr_type_Registered Dietitian or Nutrition Professional,-0.0004711572383920352,0.0004711572383920352
cat__rndrng_prvdr_type_Urology,-0.000465087701900245,0.000465087701900245
cat__rndrng_prvdr_type_Thoracic Surgery,-0.0004204645936344789,0.0004204645936344789
num__tot_mdcr_pymt_amt_specialty_year_median,-0.0003996048033483121,0.0003996048033483121
cat__rndrng_prvdr_type_Interventional Radiology,-0.0003682930531738013,0.0003682930531738013
num__tot_mdcr_pymt_amt_minus_specialty_year_median,0.00035725364934465566,0.00035725364934465566
cat__rndrng_prvdr_type_Certified Clinical Nurse Specialist,-0.00035723800530710286,0.00035723800530710286
cat__rndrng_prvdr_type_Geriatric Medicine,0.0003349908911428009,0.0003349908911428009
cat__rndrng_prvdr_type_Clinical Cardiac Electrophysiology,-0.00030906744344183566,0.00030906744344183566
cat__rndrng_prvdr_type_Clinical Laboratory,-0.00029501570767372516,0.00029501570767372516
cat__rndrng_prvdr_type_Ambulance Service Provider,-0.0002942445499805026,0.0002942445499805026
cat__rndrng_prvdr_type_Neurology,0.00027940364860747205,0.00027940364860747205
num__tot_mdcr_pymt_amt,0.00025990297646859593,0.00025990297646859593
cat__rndrng_prvdr_type_Emergency Medicine,0.00025369310480507747,0.00025369310480507747
num__bene_race_natind_share,-0.00022029128445183807,0.00022029128445183807
cat__rndrng_prvdr_type_Hand Surgery,-0.00021995022048051864,0.00021995022048051864
cat__rndrng_prvdr_type_Preventive Medicine,0.00021906790752632477,0.00021906790752632477
num__tot_mdcr_stdzd_amt_specialty_year_median,0.00021582804443917548,0.00021582804443917548
cat__rndrng_prvdr_type_Colorectal Surgery (Proctology),-0.0002064904024085627,0.0002064904024085627
cat__rndrng_prvdr_type_Certified Nurse Midwife,-0.0002063827192415841,0.0002063827192415841
cat__rndrng_prvdr_type_Addiction Medicine,0.0002017464358170763,0.0002017464358170763
cat__rndrng_prvdr_type_Cardiac Surgery,-0.0001841729849498161,0.0001841729849498161
cat__rndrng_prvdr_type_Sports Medicine,-0.00017899014426606483,0.00017899014426606483
cat__rndrng_prvdr_type_Hospice and Palliative Care,-0.0001788117481882532,0.0001788117481882532
cat__rndrng_prvdr_type_Endocrinology,-0.0001757657463010455,0.0001757657463010455
num__sbmtd_chrg_per_bene,0.00014730484208349854,0.00014730484208349854
cat__rndrng_prvdr_type_Pharmacy,-0.0001470251253978596,0.0001470251253978596
cat__rndrng_prvdr_type_Anesthesiology Assistant,0.00014382861567312187,0.00014382861567312187
cat__rndrng_prvdr_type_Osteopathic Manipulative Medicine,-0.00014297265308803588,0.00014297265308803588
cat__rndrng_prvdr_type_Critical Care (Intensivists),-0.00014080475246107431,0.00014080475246107431
cat__rndrng_prvdr_type_Gastroenterology,-0.00014050932693608363,0.00014050932693608363
cat__rndrng_prvdr_type_Speech Language Pathologist,-0.0001308257825358379,0.0001308257825358379
cat__rndrng_prvdr_type_Maxillofacial Surgery,-0.00011132195244830077,0.00011132195244830077
num__bene_race_natind_cnt,-0.00010832757385272366,0.00010832757385272366
cat__rndrng_prvdr_type_Independent Diagnostic Testing Facility (IDTF),9.02663374380455e-05,9.02663374380455e-05
cat__rndrng_prvdr_type_Gynecological Oncology,-8.821983767483697e-05,8.821983767483697e-05
cat__rndrng_prvdr_type_Surgical Oncology,-8.313749722661711e-05,8.313749722661711e-05
cat__rndrng_prvdr_type_Obstetrics & Gynecology,-8.180721522817892e-05,8.180721522817892e-05
cat__rndrng_prvdr_type_Hematology,-7.944173912381367e-05,7.944173912381367e-05
cat__rndrng_prvdr_type_Portable X-Ray Supplier,-6.918124298142968e-05,6.918124298142968e-05
cat__rndrng_prvdr_type_Sleep Medicine,-6.714806115788677e-05,6.714806115788677e-05
cat__rndrng_prvdr_type_Plastic and Reconstructive Surgery,-6.0582909241996544e-05,6.0582909241996544e-05
cat__rndrng_prvdr_type_Geriatric Psychiatry,-5.9171199016768356e-05,5.9171199016768356e-05
cat__rndrng_prvdr_type_Advanced Heart Failure and Transplant Cardiology,-4.650296016295134e-05,4.650296016295134e-05
cat__rndrng_prvdr_type_Dentist,-4.56588979549479e-05,4.56588979549479e-05
cat__rndrng_prvdr_type_Neurosurgery,-4.4340876226955914e-05,4.4340876226955914e-05
cat__rndrng_prvdr_type_Public Health or Welfare Agency,-4.281728046607181e-05,4.281728046607181e-05
cat__rndrng_prvdr_type_Vascular Surgery,3.641504013499397e-05,3.641504013499397e-05
cat__rndrng_prvdr_type_Nuclear Medicine,-3.417138570862161e-05,3.417138570862161e-05
cat__rndrng_prvdr_type_Clinic or Group Practice,-3.326980661532327e-05,3.326980661532327e-05
cat__rndrng_prvdr_type_Allergy/ Immunology,-3.2388549481487325e-05,3.2388549481487325e-05
num__tot_mdcr_stdzd_amt_minus_specialty_year_median,-3.065631016007823e-05,3.065631016007823e-05
cat__rndrng_prvdr_type_All Other Suppliers,-2.7069093221099027e-05,2.7069093221099027e-05
cat__rndrng_prvdr_type_Opioid Treatment Program,-2.066574582236594e-05,2.066574582236594e-05
cat__rndrng_prvdr_type_Undefined Physician type,-2.033991024727453e-05,2.033991024727453e-05
cat__rndrng_prvdr_type_Hematopoietic Cell Transplantation and Cellular Therapy,-1.9933047780527334e-05,1.9933047780527334e-05
num__tot_mdcr_stdzd_amt,1.4166045111995844e-05,1.4166045111995844e-05
cat__rndrng_prvdr_type_Micrographic Dermatologic Surgery,-8.637632555762783e-06,8.637632555762783e-06
